timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,load,ram_usage,warning
32424001443,17.2036,17.823185,17.9428,16.854319,3011.86,0,1.1571429,0.7122054,0.85515225,3
32424504389,16.851,17.720661,16.9632,17.19561,3014.3135,0,1.1571429,0.7122054,0.85515225,3
32425007521,18.7534,17.716,16.5416,17.197412,3016.7258,0,1.1571429,0.70597565,0.85515225,3
32425510812,23.468401,18.029337,11.2592,16.477276,3018.9868,0,1.1571429,0.70597565,0.85515225,3
32426013920,23.4028,19.91447,0.8928,8.35388,3019.3774,0,1.1571429,0.70163023,0.85542417,3
32426517359,23.2962,21.101816,1.426,4.3103247,3019.5554,0.21521813,1.1192886,0.70163023,0.85542417,3
32427012923,22.6894,21.7495,2.7652,3.062801,3019.8308,0.36395985,1.094542,0.68664724,0.85542417,3
32427515553,22.5254,22.045351,3.224,3.2987366,3020.315,0.4215179,1.085257,0.68664724,0.85542417,3
32428019988,21.7874,22.104977,5.27,3.8424065,3020.8914,0.41854435,1.0857328,0.6959852,0.85542417,3
32428524020,23.001,22.08209,4.0175996,4.8067465,3021.6726,0.3858114,1.0909984,0.6959852,0.85542417,3
32429022549,23.3126,22.534386,1.2772,3.0703976,3021.9382,0.5029312,1.0723897,0.7438603,0.85474443,3
21987142,23.771801,23.80166,0.21079999,0.30431664,1.6518501,0.85657316,1.0198647,0.6338904,0.80519307,0
22490346,23.6816,23.784628,0.35959998,0.25518346,1.6817954,0.86382586,1.0188413,0.6338904,0.80519307,0
22993549,23.5094,23.702694,1.0912,0.5365878,1.779062,0.84713656,1.0211993,0.7438263,0.8487629,0
23496838,23.575,23.636976,0.8928,0.7930322,1.9178141,0.8325582,1.0232681,0.7438263,0.8487629,0
23999938,23.5422,23.605694,0.806,0.8268229,2.0372472,0.8265777,1.0241191,0.7184708,0.8487629,0
24503538,23.5586,23.584625,0.8928,0.84709865,2.1575,0.8224874,1.0247022,0.7184708,0.8487629,0
25006775,23.5504,23.562395,0.97959995,0.91650355,2.2918394,0.8172551,1.0254488,0.7060423,0.85059816,0
